# {'yi': 5, 'slope': 1.3e-05, 'Ymax': 1000, 'Froude': 0.02, 'n_points': 300, 'variables': 'p_u_v', 'flow': 'DATA/G.txt', 'mapping': ['semi_infinite_PB', [0, 3.3840579710144927]], 'Re': 157.922677, 'a_ast': 0.552, 'alpha': 0.56552, 'equation': 'LNS_CD', 'lc': 0.16739}
# y   p_re    p_im    p_mod   u_re    u_im    u_mod    v_re    v_im    v_mod                     p_re_adj    p_im_adj    p_mod_adj   u_re_adj    u_im_adj    u_mod_adj    v_re_adj    v_im_adj    v_mod_adj
3.5264e+01 5.3833e-10 2.1178e-09 2.1852e-09 -3.3644e-09 -3.0887e-09 4.5672e-09 -1.2566e-09 2.9065e-09 3.1665e-09 -6.8762e-10 6.0224e-10 9.1407e-10 1.8900e-09 -3.0277e-10 1.9141e-09 6.1946e-10 5.1075e-10 8.0287e-10
3.4016e+01 -1.1232e-09 -1.9641e-09 2.2626e-09 4.0493e-09 2.2365e-09 4.6259e-09 2.2068e-09 -2.2249e-09 3.1337e-09 7.7679e-10 -7.5206e-10 1.0812e-09 -2.2303e-09 4.9875e-10 2.2854e-09 -6.7299e-10 -5.4273e-10 8.6456e-10
3.2851e+01 -2.4362e-11 2.2826e-09 2.2827e-09 -2.6844e-09 -4.1930e-09 4.9787e-09 -3.5312e-10 3.5844e-09 3.6017e-09 -8.3191e-10 7.8352e-10 1.1428e-09 2.3763e-09 -5.7658e-10 2.4452e-09 5.8613e-10 3.6809e-10 6.9213e-10
3.1759e+01 -2.1334e-09 -1.6957e-09 2.7252e-09 5.2115e-09 8.1265e-10 5.2745e-09 3.8479e-09 -1.0440e-09 3.9870e-09 9.6030e-10 -1.0536e-09 1.4255e-09 -2.9246e-09 9.4935e-10 3.0748e-09 -7.6744e-10 -5.8327e-10 9.6394e-10
3.0735e+01 -1.7713e-09 2.7665e-09 3.2849e-09 -5.7552e-10 -7.2480e-09 7.2708e-09 2.4636e-09 5.6545e-09 6.1679e-09 -9.6248e-10 8.9835e-10 1.3166e-09 2.7616e-09 -8.6245e-10 2.8932e-09 4.5672e-10 7.7547e-11 4.6325e-10
2.9772e+01 -5.0429e-09 -9.0370e-10 5.1232e-09 8.5765e-09 -3.6431e-09 9.3182e-09 8.5651e-09 2.3820e-09 8.8902e-09 1.1958e-09 -1.5070e-09 1.9238e-09 -3.8760e-09 1.6788e-09 4.2239e-09 -1.0138e-09 -8.4100e-10 1.3172e-09
2.8865e+01 -6.4773e-09 4.0570e-09 7.6430e-09 5.0696e-09 -1.5130e-08 1.5957e-08 1.0061e-08 1.1214e-08 1.5066e-08 -1.0417e-09 8.2085e-10 1.3263e-09 2.8162e-09 -1.0514e-09 3.0061e-09 8.4638e-11 -5.7320e-10 5.7941e-10
2.8008e+01 -1.2422e-08 1.1140e-09 1.2472e-08 1.7158e-08 -1.5289e-08 2.2982e-08 2.0519e-08 1.1083e-08 2.3320e-08 1.5383e-09 -2.2946e-09 2.7626e-09 -5.3642e-09 2.9329e-09 6.1136e-09 -1.6175e-09 -1.6195e-09 2.2889e-09
2.7198e+01 -1.7763e-08 7.1465e-09 1.9147e-08 1.8550e-08 -3.3698e-08 3.8467e-08 2.8296e-08 2.4536e-08 3.7452e-08 -9.9280e-10 2.9459e-10 1.0356e-09 2.0757e-09 -8.9299e-10 2.2596e-09 -8.2666e-10 -2.0161e-09 2.1790e-09
2.6431e+01 -2.9250e-08 5.7191e-09 2.9804e-08 3.6810e-08 -4.2180e-08 5.5983e-08 4.7764e-08 3.0935e-08 5.6907e-08 2.0941e-09 -3.7693e-09 4.3120e-09 -7.9288e-09 5.1609e-09 9.4605e-09 -2.9766e-09 -3.5072e-09 4.6000e-09
2.5704e+01 -4.2319e-08 1.3867e-08 4.4533e-08 4.7786e-08 -7.3767e-08 8.7892e-08 6.7990e-08 5.3516e-08 8.6525e-08 -6.7345e-10 -1.1542e-09 1.3363e-09 -3.2313e-10 1.1323e-10 3.4240e-10 -2.8263e-09 -5.0458e-09 5.7835e-09
2.5013e+01 -6.4337e-08 1.5323e-08 6.6136e-08 7.7903e-08 -9.8588e-08 1.2565e-07 1.0456e-07 7.2338e-08 1.2714e-07 3.0512e-09 -6.5559e-09 7.2312e-09 -1.2535e-08 9.1080e-09 1.5494e-08 -5.7973e-09 -7.5514e-09 9.5201e-09
2.4356e+01 -9.1532e-08 2.7337e-08 9.5527e-08 1.0625e-07 -1.5372e-07 1.8687e-07 1.4756e-07 1.1159e-07 1.8501e-07 1.5850e-10 -4.3320e-09 4.3349e-09 -5.8310e-09 2.8679e-09 6.4981e-09 -6.8443e-09 -1.1013e-08 1.2966e-08
2.3730e+01 -1.3214e-07 3.3886e-08 1.3642e-07 1.5748e-07 -2.0795e-07 2.6085e-07 2.1430e-07 1.5237e-07 2.6294e-07 4.7180e-09 -1.1679e-08 1.2596e-08 -2.0774e-08 1.5948e-08 2.6190e-08 -1.1241e-08 -1.5472e-08 1.9125e-08
2.3133e+01 -1.8348e-07 5.2506e-08 1.9084e-07 2.1531e-07 -3.0277e-07 3.7152e-07 2.9625e-07 2.2010e-07 3.6907e-07 1.8878e-09 -1.0519e-08 1.0687e-08 -1.6735e-08 8.8670e-09 1.8939e-08 -1.4355e-08 -2.2056e-08 2.6316e-08
2.2563e+01 -2.5494e-07 6.7505e-08 2.6373e-07 3.0181e-07 -4.0636e-07 5.0618e-07 4.1301e-07 2.9732e-07 5.0890e-07 7.5695e-09 -2.0719e-08 2.2058e-08 -3.5142e-08 2.7417e-08 4.4572e-08 -2.1105e-08 -2.9923e-08 3.6617e-08
2.2019e+01 -3.4523e-07 9.6788e-08 3.5854e-07 4.0693e-07 -5.6462e-07 6.9598e-07 5.5787e-07 4.1100e-07 6.9292e-07 5.0909e-09 -2.1634e-08 2.2225e-08 -3.6396e-08 2.0416e-08 4.1731e-08 -2.7559e-08 -4.1374e-08 4.9712e-08
2.1497e+01 -4.6523e-07 1.2508e-07 4.8175e-07 5.4930e-07 -7.4648e-07 9.2681e-07 7.5327e-07 5.4557e-07 9.3008e-07 1.2298e-08 -3.5977e-08 3.8021e-08 -5.9369e-08 4.5978e-08 7.5091e-08 -3.8016e-08 -5.4780e-08 6.6679e-08
2.0998e+01 -6.1534e-07 1.7074e-07 6.3859e-07 7.2659e-07 -1.0016e-06 1.2374e-06 9.9481e-07 7.2980e-07 1.2338e-06 1.0589e-08 -4.0407e-08 4.1771e-08 -6.9478e-08 4.0864e-08 8.0605e-08 -4.9578e-08 -7.3526e-08 8.8680e-08
2.0519e+01 -8.0827e-07 2.1901e-07 8.3742e-07 9.5349e-07 -1.3016e-06 1.6135e-06 1.3083e-06 9.5056e-07 1.6172e-06 1.9870e-08 -6.0662e-08 6.3833e-08 -9.8805e-08 7.5038e-08 1.2407e-07 -6.5651e-08 -9.5439e-08 1.1584e-07
2.0060e+01 -1.0464e-06 2.8879e-07 1.0856e-06 1.2363e-06 -1.6987e-06 2.1010e-06 1.6922e-06 1.2387e-06 2.0971e-06 1.9503e-08 -7.0568e-08 7.3213e-08 -1.2218e-07 7.4760e-08 1.4323e-07 -8.4664e-08 -1.2474e-07 1.5076e-07
1.9619e+01 -1.3447e-06 3.6590e-07 1.3936e-06 1.5861e-06 -2.1699e-06 2.6878e-06 2.1762e-06 1.5839e-06 2.6916e-06 3.1576e-08 -9.9071e-08 1.0398e-07 -1.6079e-07 1.1923e-07 2.0018e-07 -1.0894e-07 -1.5911e-07 1.9283e-07
1.9194e+01 -1.7078e-06 4.6988e-07 1.7712e-06 2.0178e-06 -2.7681e-06 3.4255e-06 2.7621e-06 2.0193e-06 3.4215e-06 3.3308e-08 -1.1702e-07 1.2167e-07 -2.0247e-07 1.2794e-07 2.3950e-07 -1.3840e-07 -2.0323e-07 2.4588e-07
1.8786e+01 -2.1529e-06 5.8724e-07 2.2316e-06 2.5399e-06 -3.4782e-06 4.3068e-06 3.4839e-06 2.5382e-06 4.3104e-06 4.9090e-08 -1.5676e-07 1.6427e-07 -2.5496e-07 1.8477e-07 3.1488e-07 -1.7428e-07 -2.5511e-07 3.0895e-07
1.8393e+01 -2.6875e-06 7.3820e-07 2.7870e-06 3.1750e-06 -4.3526e-06 5.3876e-06 4.3473e-06 3.1760e-06 5.3838e-06 5.3884e-08 -1.8601e-07 1.9366e-07 -3.2047e-07 2.0759e-07 3.8183e-07 -2.1791e-07 -3.1947e-07 3.8671e-07
1.8014e+01 -3.3314e-06 9.1001e-07 3.4535e-06 3.9312e-06 -5.3857e-06 6.6678e-06 5.3907e-06 3.9297e-06 6.6710e-06 7.4511e-08 -2.4071e-07 2.5198e-07 -3.9335e-07 2.7973e-07 4.8267e-07 -2.6966e-07 -3.9511e-07 4.7836e-07
1.7648e+01 -4.0950e-06 1.1237e-06 4.2463e-06 4.8371e-06 -6.6292e-06 8.2063e-06 6.6245e-06 4.8377e-06 8.2029e-06 8.3561e-08 -2.8529e-07 2.9728e-07 -4.8888e-07 3.2239e-07 5.8561e-07 -3.3203e-07 -4.8647e-07 5.8898e-07
1.7295e+01 -5.0009e-06 1.3673e-06 5.1844e-06 5.9026e-06 -8.0874e-06 1.0012e-05 8.0917e-06 5.9009e-06 1.0015e-05 1.1041e-07 -3.5947e-07 3.7605e-07 -5.9046e-07 4.1414e-07 7.2122e-07 -4.0487e-07 -5.9340e-07 7.1836e-07
1.6954e+01 -6.0624e-06 1.6626e-06 6.2862e-06 7.1604e-06 -9.8119e-06 1.2147e-05 9.8078e-06 7.1608e-06 1.2144e-05 1.2516e-07 -4.2423e-07 4.4231e-07 -7.2332e-07 4.8276e-07 8.6963e-07 -4.9149e-07 -7.1996e-07 8.7172e-07
1.6625e+01 -7.3054e-06 1.9985e-06 7.5738e-06 8.6242e-06 -1.1817e-05 1.4629e-05 1.1820e-05 8.6223e-06 1.4631e-05 1.5987e-07 -5.2326e-07 5.4714e-07 -8.6341e-07 5.9996e-07 1.0514e-06 -5.9159e-07 -8.6709e-07 1.0497e-06
1.6306e+01 -8.7463e-06 2.3978e-06 9.0690e-06 1.0330e-05 -1.4154e-05 1.7523e-05 1.4151e-05 1.0330e-05 1.7520e-05 1.8201e-07 -6.1391e-07 6.4033e-07 -1.0425e-06 7.0119e-07 1.2563e-06 -7.0899e-07 -1.0385e-06 1.2575e-06
1.5998e+01 -1.0414e-05 2.8501e-06 1.0797e-05 1.2296e-05 -1.6847e-05 2.0857e-05 1.6851e-05 1.2294e-05 2.0859e-05 2.2648e-07 -7.4407e-07 7.7777e-07 -1.2322e-06 8.5106e-07 1.4975e-06 -8.4352e-07 -1.2363e-06 1.4966e-06
1.5699e+01 -1.2329e-05 3.3792e-06 1.2784e-05 1.4561e-05 -1.9951e-05 2.4699e-05 1.9947e-05 1.4561e-05 2.4696e-05 2.5800e-07 -8.6725e-07 9.0481e-07 -1.4681e-06 9.9236e-07 1.7720e-06 -9.9932e-07 -1.4638e-06 1.7724e-06
1.5410e+01 -1.4522e-05 3.9756e-06 1.5057e-05 1.7148e-05 -2.3495e-05 2.9088e-05 2.3498e-05 1.7145e-05 2.9088e-05 3.1442e-07 -1.0357e-06 1.0824e-06 -1.7198e-06 1.1833e-06 2.0875e-06 -1.1765e-06 -1.7241e-06 2.0872e-06
1.5129e+01 -1.7018e-05 4.6639e-06 1.7646e-05 2.0099e-05 -2.7538e-05 3.4093e-05 2.7535e-05 2.0099e-05 3.4090e-05 3.5757e-07 -1.1990e-06 1.2512e-06 -2.0249e-06 1.3731e-06 2.4466e-06 -1.3793e-06 -2.0205e-06 2.4465e-06
1.4857e+01 -1.9851e-05 5.4356e-06 2.0582e-05 2.3443e-05 -3.2118e-05 3.9764e-05 3.2121e-05 2.3439e-05 3.9764e-05 4.2841e-07 -1.4139e-06 1.4774e-06 -2.3525e-06 1.6146e-06 2.8533e-06 -1.6084e-06 -2.3568e-06 2.8533e-06
1.4593e+01 -2.3049e-05 6.3161e-06 2.3899e-05 2.7223e-05 -3.7296e-05 4.6175e-05 3.7293e-05 2.7221e-05 4.6171e-05 4.8571e-07 -1.6257e-06 1.6967e-06 -2.7409e-06 1.8625e-06 3.3139e-06 -1.8681e-06 -2.7365e-06 3.3134e-06
1.4336e+01 -2.6649e-05 7.2980e-06 2.7630e-05 3.1472e-05 -4.3118e-05 5.3382e-05 4.3120e-05 3.1467e-05 5.3381e-05 5.7372e-07 -1.8962e-06 1.9811e-06 -3.1596e-06 2.1651e-06 3.8302e-06 -2.1593e-06 -3.1640e-06 3.8306e-06
1.4087e+01 -3.0682e-05 8.4076e-06 3.1813e-05 3.6239e-05 -4.9648e-05 6.1467e-05 4.9645e-05 3.6237e-05 6.1463e-05 6.4800e-07 -2.1660e-06 2.2608e-06 -3.6472e-06 2.4818e-06 4.4115e-06 -2.4868e-06 -3.6428e-06 4.4107e-06
1.3845e+01 -3.5189e-05 9.6381e-06 3.6485e-05 4.1561e-05 -5.6937e-05 7.0492e-05 5.6940e-05 4.1555e-05 7.0491e-05 7.5622e-07 -2.5019e-06 2.6137e-06 -4.1737e-06 2.8570e-06 5.0579e-06 -2.8516e-06 -4.1780e-06 5.0584e-06
1.3609e+01 -4.0204e-05 1.1017e-05 4.1687e-05 4.7488e-05 -6.5057e-05 8.0545e-05 6.5054e-05 4.7485e-05 8.0541e-05 8.5056e-07 -2.8401e-06 2.9648e-06 -4.7778e-06 3.2541e-06 5.7807e-06 -3.2586e-06 -4.7735e-06 5.7797e-06
1.3380e+01 -4.5772e-05 1.2538e-05 4.7459e-05 5.4063e-05 -7.4063e-05 9.1696e-05 7.4065e-05 5.4055e-05 9.1693e-05 9.8229e-07 -3.2525e-06 3.3976e-06 -5.4304e-06 3.7145e-06 6.5793e-06 -3.7094e-06 -5.4347e-06 6.5799e-06
1.3157e+01 -5.1929e-05 1.4230e-05 5.3844e-05 6.1339e-05 -8.4030e-05 1.0404e-04 8.4027e-05 6.1334e-05 1.0403e-04 1.1001e-06 -3.6703e-06 3.8316e-06 -6.1699e-06 4.2050e-06 7.4666e-06 -4.2090e-06 -6.1656e-06 7.4653e-06
1.2939e+01 -5.8724e-05 1.6087e-05 6.0887e-05 6.9363e-05 -9.5021e-05 1.1764e-04 9.5023e-05 6.9354e-05 1.1764e-04 1.2589e-06 -4.1709e-06 4.3568e-06 -6.9683e-06 4.7642e-06 8.4412e-06 -4.7593e-06 -6.9725e-06 8.4420e-06
1.2727e+01 -6.6194e-05 1.8139e-05 6.8634e-05 7.8190e-05 -1.0711e-04 1.3262e-04 1.0711e-04 7.8185e-05 1.3261e-04 1.4037e-06 -4.6804e-06 4.8863e-06 -7.8636e-06 5.3617e-06 9.5176e-06 -5.3653e-06 -7.8594e-06 9.5162e-06
1.2521e+01 -7.4392e-05 2.0381e-05 7.7134e-05 8.7874e-05 -1.2038e-04 1.4904e-04 1.2038e-04 8.7863e-05 1.4903e-04 1.5935e-06 -5.2819e-06 5.5170e-06 -8.8289e-06 6.0342e-06 1.0694e-05 -6.0295e-06 -8.8330e-06 1.0695e-05
