# y   p_re    p_im    p_mod   u_re    u_im    u_mod    v_re    v_im    v_mod                     p_re_adj    p_im_adj    p_mod_adj   u_re_adj    u_im_adj    u_mod_adj    v_re_adj    v_im_adj    v_mod_adj
3.4016e+01 -1.0443e-07 -2.3853e-07 2.6039e-07 1.1157e-07 3.7023e-07 3.8668e-07 2.7097e-07 -8.1333e-08 2.8291e-07 2.1416e-07 -2.0860e-07 2.9896e-07 -2.7885e-07 3.4545e-07 4.4395e-07 2.5306e-07 2.0441e-07 3.2531e-07
3.2851e+01 1.0443e-07 2.3844e-07 2.6031e-07 -1.1159e-07 -3.7010e-07 3.8656e-07 -2.7187e-07 8.1508e-08 2.8383e-07 -2.0747e-07 2.0205e-07 2.8960e-07 2.7016e-07 -3.3460e-07 4.3005e-07 -2.4473e-07 -1.9760e-07 3.1455e-07
3.1759e+01 -1.0495e-07 -2.3983e-07 2.6178e-07 1.1210e-07 3.7224e-07 3.8875e-07 2.7009e-07 -8.1069e-08 2.8199e-07 2.0107e-07 -1.9596e-07 2.8077e-07 -2.6182e-07 3.2447e-07 4.1693e-07 2.3661e-07 1.9120e-07 3.0421e-07
3.0735e+01 1.0432e-07 2.3799e-07 2.5985e-07 -1.1149e-07 -3.6942e-07 3.8588e-07 -2.7294e-07 8.1652e-08 2.8489e-07 -1.9505e-07 1.8991e-07 2.7223e-07 2.5403e-07 -3.1446e-07 4.0425e-07 -2.2928e-07 -1.8498e-07 2.9459e-07
2.9772e+01 -1.0564e-07 -2.4174e-07 2.6381e-07 1.1278e-07 3.7519e-07 3.9177e-07 2.6696e-07 -8.0259e-08 2.7877e-07 1.8921e-07 -1.8463e-07 2.6436e-07 -2.4637e-07 3.0564e-07 3.9257e-07 2.2164e-07 1.7934e-07 2.8511e-07
2.8865e+01 1.0340e-07 2.3537e-07 2.5708e-07 -1.1060e-07 -3.6540e-07 3.8177e-07 -2.7635e-07 8.2281e-08 2.8834e-07 -1.8387e-07 1.7879e-07 2.5647e-07 2.3955e-07 -2.9606e-07 3.8084e-07 -2.1561e-07 -1.7354e-07 2.7677e-07
2.8008e+01 -1.0719e-07 -2.4612e-07 2.6845e-07 1.1427e-07 3.8192e-07 3.9865e-07 2.5929e-07 -7.8410e-08 2.7089e-07 1.7845e-07 -1.7467e-07 2.4971e-07 -2.3231e-07 2.8902e-07 3.7080e-07 2.0786e-07 1.6883e-07 2.6779e-07
2.7198e+01 1.0089e-07 2.2830e-07 2.4960e-07 -1.0815e-07 -3.5453e-07 3.7066e-07 -2.8605e-07 8.4290e-08 2.9821e-07 -1.7390e-07 1.6839e-07 2.4207e-07 2.2672e-07 -2.7894e-07 3.5946e-07 -2.0391e-07 -1.6308e-07 2.6110e-07
2.6431e+01 -1.1084e-07 -2.5655e-07 2.7947e-07 1.1780e-07 3.9795e-07 4.1502e-07 2.4192e-07 -7.4387e-08 2.5310e-07 1.6862e-07 -1.6626e-07 2.3680e-07 -2.1933e-07 2.7485e-07 3.5163e-07 1.9470e-07 1.5973e-07 2.5184e-07
2.5704e+01 9.5152e-08 2.1210e-07 2.3246e-07 -1.0256e-07 -3.2962e-07 3.4521e-07 -3.0950e-07 8.9352e-08 3.2214e-07 -1.6511e-07 1.5820e-07 2.2867e-07 2.1560e-07 -2.6233e-07 3.3956e-07 -1.9461e-07 -1.5327e-07 2.4772e-07
2.5013e+01 -1.1893e-07 -2.7957e-07 3.0381e-07 1.2562e-07 4.3332e-07 4.5116e-07 2.0501e-07 -6.6007e-08 2.1538e-07 1.5945e-07 -1.5984e-07 2.2577e-07 -2.0698e-07 2.6372e-07 3.3525e-07 1.8124e-07 1.5222e-07 2.3668e-07
2.4356e+01 8.3175e-08 1.7822e-07 1.9668e-07 -9.0908e-08 -2.7755e-07 2.9206e-07 -3.5998e-07 1.0043e-07 3.7373e-07 -1.5757e-07 1.4738e-07 2.1576e-07 2.0644e-07 -2.4500e-07 3.2038e-07 -1.8859e-07 -1.4358e-07 2.3703e-07
