# y   p_re    p_im    p_mod   u_re    u_im    u_mod    v_re    v_im    v_mod                     p_re_adj    p_im_adj    p_mod_adj   u_re_adj    u_im_adj    u_mod_adj    v_re_adj    v_im_adj    v_mod_adj
2.5013e+01 -1.7035e-07 -2.1040e-07 2.7072e-07 2.2787e-07 3.2996e-07 4.0099e-07 2.3967e-07 -1.6533e-07 2.9116e-07 -6.4945e-05 1.2473e-04 1.4062e-04 1.1599e-04 -2.1330e-04 2.4280e-04 -1.5692e-04 -8.5271e-05 1.7859e-04
2.4356e+01 1.6856e-07 2.0718e-07 2.6709e-07 -2.2558e-07 -3.2501e-07 3.9563e-07 -2.4419e-07 1.6724e-07 2.9597e-07 6.3345e-05 -1.2165e-04 1.3716e-04 -1.1313e-04 2.0805e-04 2.3682e-04 1.5288e-04 8.3069e-05 1.7399e-04
2.3730e+01 -1.7128e-07 -2.1216e-07 2.7267e-07 2.2903e-07 3.3268e-07 4.0389e-07 2.3603e-07 -1.6339e-07 2.8707e-07 -6.1818e-05 1.1872e-04 1.3385e-04 1.1040e-04 -2.0303e-04 2.3111e-04 -1.4902e-04 -8.0973e-05 1.6960e-04
2.3133e+01 1.6678e-07 2.0404e-07 2.6353e-07 -2.2329e-07 -3.2018e-07 3.9035e-07 -2.4801e-07 1.6870e-07 2.9995e-07 6.0359e-05 -1.1592e-04 1.3069e-04 -1.0780e-04 1.9824e-04 2.2565e-04 1.4536e-04 7.8979e-05 1.6543e-04
2.2563e+01 -1.7348e-07 -2.1629e-07 2.7727e-07 2.3181e-07 3.3902e-07 4.1070e-07 2.2862e-07 -1.5972e-07 2.7889e-07 -5.8966e-05 1.1324e-04 1.2767e-04 1.0531e-04 -1.9366e-04 2.2044e-04 -1.4187e-04 -7.7081e-05 1.6146e-04
2.2019e+01 1.6303e-07 1.9738e-07 2.5600e-07 -2.1850e-07 -3.0992e-07 3.7920e-07 -2.5716e-07 1.7257e-07 3.0970e-07 5.7634e-05 -1.1068e-04 1.2479e-04 -1.0293e-04 1.8929e-04 2.1546e-04 1.3855e-04 7.5273e-05 1.5768e-04
2.1497e+01 -1.7829e-07 -2.2516e-07 2.8720e-07 2.3790e-07 3.5268e-07 4.2542e-07 2.1384e-07 -1.5270e-07 2.6277e-07 -5.6361e-05 1.0824e-04 1.2203e-04 1.0066e-04 -1.8510e-04 2.1070e-04 -1.3539e-04 -7.3551e-05 1.5408e-04
2.0998e+01 1.5564e-07 1.8411e-07 2.4108e-07 -2.0906e-07 -2.8949e-07 3.5709e-07 -2.7647e-07 1.8107e-07 3.3049e-07 5.5143e-05 -1.0590e-04 1.1939e-04 -9.8480e-05 1.8110e-04 2.0615e-04 1.3237e-04 7.1910e-05 1.5064e-04
2.0519e+01 -1.8796e-07 -2.4287e-07 3.0711e-07 2.5017e-07 3.7993e-07 4.5490e-07 1.8547e-07 -1.3950e-07 2.3208e-07 -5.3977e-05 1.0366e-04 1.1687e-04 9.6397e-05 -1.7727e-04 2.0179e-04 -1.2950e-04 -7.0345e-05 1.4737e-04
2.0060e+01 1.4174e-07 1.5903e-07 2.1303e-07 -1.9135e-07 -2.5090e-07 3.1554e-07 -3.1396e-07 1.9786e-07 3.7111e-07 5.2860e-05 -1.0151e-04 1.1445e-04 -9.4401e-05 1.7360e-04 1.9761e-04 1.2675e-04 6.8852e-05 1.4425e-04
1.9619e+01 -2.0612e-07 -2.7602e-07 3.4449e-07 2.7325e-07 4.3094e-07 5.1028e-07 1.3339e-07 -1.1551e-07 1.7645e-07 -5.1790e-05 9.9454e-05 1.1213e-04 9.2489e-05 -1.7009e-04 1.9361e-04 -1.2414e-04 -6.7427e-05 1.4127e-04
1.9194e+01 1.1681e-07 1.1392e-07 1.6316e-07 -1.5959e-07 -1.8147e-07 2.4167e-07 -3.8236e-07 2.2873e-07 4.4555e-07 5.0763e-05 -9.7483e-05 1.0991e-04 -9.0655e-05 1.6672e-04 1.8977e-04 1.2164e-04 6.6065e-05 1.3842e-04
1.8786e+01 -2.3841e-07 -3.3482e-07 4.1103e-07 3.1430e-07 5.2143e-07 6.0883e-07 4.1916e-08 -7.3593e-08 8.4693e-08 -4.9778e-05 9.5590e-05 1.0777e-04 8.8895e-05 -1.6348e-04 1.8609e-04 -1.1925e-04 -6.4765e-05 1.3570e-04
1.8393e+01 7.3978e-08 3.6318e-08 8.2412e-08 -1.0506e-07 -6.2038e-08 1.2201e-07 -5.0085e-07 2.8242e-07 5.7498e-07 4.8833e-05 -9.3775e-05 1.0573e-04 -8.7206e-05 1.6038e-04 1.8255e-04 1.1697e-04 6.3521e-05 1.3310e-04
1.8014e+01 -2.9314e-07 -4.3438e-07 5.2404e-07 3.8392e-07 6.7465e-07 7.7624e-07 -1.1220e-07 -3.1660e-09 1.1225e-07 -4.7924e-05 9.2028e-05 1.0376e-04 8.5581e-05 -1.5739e-04 1.7915e-04 -1.1478e-04 -6.2333e-05 1.3062e-04
1.7648e+01 3.2693e-09 -9.1917e-08 9.1975e-08 -1.5059e-08 1.3532e-07 1.3615e-07 -6.9735e-07 3.7164e-07 7.9020e-07 4.7052e-05 -9.0352e-05 1.0187e-04 -8.4022e-05 1.5452e-04 1.7589e-04 1.1269e-04 6.1193e-05 1.2823e-04
1.7295e+01 -3.8222e-07 -5.9628e-07 7.0827e-07 4.9722e-07 9.2382e-07 1.0491e-06 -3.6217e-07 1.1089e-07 3.7877e-07 -4.6211e-05 8.8737e-05 1.0005e-04 8.2519e-05 -1.5176e-04 1.7274e-04 -1.1069e-04 -6.0104e-05 1.2596e-04
1.6954e+01 -1.0934e-07 -2.9624e-07 3.1578e-07 1.2826e-07 4.4978e-07 4.6771e-07 -1.0111e-06 5.1424e-07 1.1343e-06 4.5404e-05 -8.7186e-05 9.8300e-05 -8.1076e-05 1.4911e-04 1.6973e-04 1.0877e-04 5.9058e-05 1.2377e-04
