# {'yi': 5, 'equation': 'LNS_CD', 'flow': 'DATA/G.txt', 'mapping': ['semi_infinite_PB', [0, 3.3840579710144927]], 'Re': 157.922677, 'Froude': 0.02, 'lc': 0.16739, 'Ymax': 1000, 'variables': 'p_u_v', 'n_points': 300, 'alpha': 0.56552, 'slope': 1.3e-05}
# eigv_re    eigv_im    eigv_re_adj    eigv_im_adj
8.9357e-01 -1.4749e-01 8.9355e-01 1.4749e-01
8.9379e-01 -1.3926e-01 8.9377e-01 1.3926e-01
8.9400e-01 -1.3141e-01 8.9398e-01 1.3140e-01
8.9418e-01 -1.2391e-01 8.9416e-01 1.2391e-01
8.9435e-01 -1.1676e-01 8.9434e-01 1.1676e-01
8.9451e-01 -1.0995e-01 8.9449e-01 1.0995e-01
8.9465e-01 -1.0346e-01 8.9464e-01 1.0345e-01
8.9478e-01 -9.7277e-02 8.9477e-01 9.7274e-02
8.9490e-01 -9.1396e-02 8.9489e-01 9.1393e-02
8.9502e-01 -8.5803e-02 8.9501e-01 8.5800e-02
8.9512e-01 -8.0488e-02 8.9511e-01 8.0485e-02
8.9521e-01 -7.5440e-02 8.9521e-01 7.5437e-02
8.9530e-01 -7.0649e-02 8.9529e-01 7.0646e-02
8.9538e-01 -6.6105e-02 8.9537e-01 6.6102e-02
8.9545e-01 -6.1798e-02 8.9545e-01 6.1796e-02
8.9552e-01 -5.7720e-02 8.9551e-01 5.7718e-02
8.9558e-01 -5.3862e-02 8.9557e-01 5.3859e-02
8.9563e-01 -5.0214e-02 8.9563e-01 5.0212e-02
8.9569e-01 -4.6768e-02 8.9568e-01 4.6766e-02
8.9573e-01 -4.3515e-02 8.9573e-01 4.3513e-02
8.9578e-01 -4.0449e-02 8.9577e-01 4.0447e-02
8.9582e-01 -3.7560e-02 8.9581e-01 3.7559e-02
8.9585e-01 -3.4842e-02 8.9585e-01 3.4840e-02
8.9588e-01 -3.2286e-02 8.9588e-01 3.2285e-02
8.9591e-01 -2.9887e-02 8.9591e-01 2.9886e-02
8.9594e-01 -2.7636e-02 8.9594e-01 2.7635e-02
8.9597e-01 -2.5528e-02 8.9597e-01 2.5527e-02
8.9599e-01 -2.3555e-02 8.9599e-01 2.3554e-02
8.9601e-01 -2.1712e-02 8.9601e-01 2.1711e-02
8.9603e-01 -1.9991e-02 8.9603e-01 1.9991e-02
8.9604e-01 -1.8388e-02 8.9604e-01 1.8388e-02
8.9606e-01 -1.6897e-02 8.9606e-01 1.6896e-02
8.9607e-01 -1.5511e-02 8.9607e-01 1.5511e-02
8.9609e-01 -1.4226e-02 8.9609e-01 1.4225e-02
8.9610e-01 -1.3036e-02 8.9610e-01 1.3036e-02
8.9611e-01 -1.1937e-02 8.9611e-01 1.1936e-02
8.9612e-01 -1.0923e-02 8.9612e-01 1.0922e-02
8.9612e-01 -9.9890e-03 8.9612e-01 9.9887e-03
8.9613e-01 -9.1317e-03 8.9613e-01 9.1314e-03
8.9614e-01 -8.3461e-03 8.9614e-01 8.3458e-03
8.9614e-01 -7.6279e-03 8.9614e-01 7.6277e-03
8.9615e-01 -6.9732e-03 8.9615e-01 6.9730e-03
8.9615e-01 -6.3780e-03 8.9615e-01 6.3778e-03
8.9615e-01 -5.8384e-03 8.9615e-01 5.8383e-03
8.9616e-01 -5.3509e-03 8.9616e-01 5.3508e-03
8.9616e-01 -4.9120e-03 8.9616e-01 4.9119e-03
8.9616e-01 -4.5182e-03 8.9616e-01 4.5181e-03
8.9617e-01 -4.1663e-03 8.9617e-01 4.1663e-03
8.9617e-01 -3.8533e-03 8.9617e-01 3.8532e-03
8.9617e-01 -3.5761e-03 8.9617e-01 3.5761e-03
8.9617e-01 -3.3319e-03 8.9617e-01 3.3319e-03
8.9617e-01 -3.1180e-03 8.9617e-01 3.1180e-03
8.9617e-01 -2.9317e-03 8.9617e-01 2.9317e-03
8.9617e-01 -2.7705e-03 8.9617e-01 2.7705e-03
8.9617e-01 -2.6321e-03 8.9617e-01 2.6321e-03
8.9617e-01 -2.5141e-03 8.9617e-01 2.5141e-03
8.9617e-01 -2.4144e-03 8.9617e-01 2.4144e-03
8.9617e-01 -2.3310e-03 8.9617e-01 2.3309e-03
8.9617e-01 -2.2619e-03 8.9617e-01 2.2619e-03
8.9617e-01 -2.2053e-03 8.9617e-01 2.2053e-03
8.9617e-01 -2.1597e-03 8.9617e-01 2.1597e-03
8.9617e-01 -2.1234e-03 8.9617e-01 2.1234e-03
8.9617e-01 -2.0951e-03 8.9617e-01 2.0951e-03
8.9617e-01 -2.0734e-03 8.9617e-01 2.0734e-03
8.9617e-01 -2.0572e-03 8.9617e-01 2.0572e-03
8.9618e-01 -2.0455e-03 8.9618e-01 2.0455e-03
8.9618e-01 -2.0373e-03 8.9618e-01 2.0373e-03
8.9618e-01 -2.0319e-03 8.9618e-01 2.0319e-03
8.9618e-01 -2.0285e-03 8.9618e-01 2.0285e-03
8.9618e-01 -2.0266e-03 8.9618e-01 2.0266e-03
8.9618e-01 -2.0256e-03 8.9618e-01 2.0256e-03
8.9618e-01 -2.0252e-03 8.9618e-01 2.0252e-03
